PMID,Year,DOI,PMC,Title
35619922,2022,10.3389/fonc.2022.850774,PMC9127861,Pre-Treatment Computed Tomography Radiomics for Predicting the Response to Neoadjuvant Chemoradiation in Locally Advanced Rectal Cancer: A Retrospective Study.
37927927,2023,10.1002/ags3.12715,PMC10623965,Short-term outcomes of a prospective multicenter phase II trial of total neoadjuvant therapy for locally advanced rectal cancer in Japan (ENSEMBLE-1).
41647286,2023,10.1016/j.esmogo.2023.08.002,PMC12836718,Phase III trial of short-course radiotherapy followed by CAPOXIRI versus CAPOX in locally advanced rectal cancer: the ENSEMBLE trial.
37519802,2023,10.3389/fonc.2023.1167289,PMC10374255,Progress in the diagnosis of lymph node metastasis in rectal cancer: a review.
36765777,2023,10.3390/cancers15030820,PMC9913430,"Editorial for ""Pre-Treatment T2-WI Based Radiomics Features for Prediction of Locally Advanced Rectal Cancer Non-Response to Neoadjuvant Chemoradiotherapy: A Preliminary Study""."
36658590,2023,10.1186/s12957-022-02872-z,PMC9854029,A review of 14 cases of perianal Paget's disease: characteristics of anorectal cancer with pagetoid spread.
35067545,2022,10.1097/RLU.0000000000004066,,68Ga-PSMA PET/CT Scan Leading to Diagnosis of PSMA-Positive Rectal Adenocarcinoma in a Patient With Prostate Cancer.
34285586,2021,10.2147/CMAR.S311501,PMC8286103,Predicting Response to Total Neoadjuvant Treatment (TNT) in Locally Advanced Rectal Cancer Based on Multiparametric Magnetic Resonance Imaging: A Retrospective Study.
37960749,2023,10.1097/MD.0000000000036004,PMC10637426,Use of a radiomics-clinical model based on magnetic diffusion-weighted imaging for preoperative prediction of lymph node metastasis in rectal cancer patients.
34721774,2021,10.4251/wjgo.v13.i10.1412,PMC8529924,Lateral pelvic lymph nodes for rectal cancer: A review of diagnosis and management.
36880951,2023,10.1148/radiol.221529,PMC10068893,Watch-and-Wait Approach to Rectal Cancer: The Role of Imaging.
33783361,2021,10.2196/23983,PMC8044740,A Framework (SOCRATex) for Hierarchical Annotation of Unstructured Electronic Health Records and Integration Into a Standardized Medical Database: Development and Usability Study.
32712705,2021,10.1007/s00423-020-01937-5,PMC7936967,Optimising functional outcomes in rectal cancer surgery.
35635190,2022,10.1002/jso.26932,PMC9543614,T-stage downstaging of locally advanced rectal cancer after neoadjuvant chemoradiotherapy is not associated with reduced recurrence after adjusting for tumour characteristics.
36747080,2023,10.1038/s41598-023-29426-x,PMC9902389,Three-dimensional visualization of the total mesorectal excision plane for dissection in rectal cancer surgery and its ability to predict surgical difficulty.
35418656,2022,10.1038/s41598-022-10175-2,PMC9008122,Predicting outcomes for locally advanced rectal cancer treated with neoadjuvant chemoradiation with CT-based radiomics.
34422664,2021,10.3389/fonc.2021.711747,PMC8371269,"A Pipeline for Predicting the Treatment Response of Neoadjuvant Chemoradiotherapy for Locally Advanced Rectal Cancer Using Single MRI Modality: Combining Deep Segmentation Network and Radiomics Analysis Based on ""Suspicious Region""."
36418640,2023,10.1007/s00464-022-09771-0,,Visualization of the pelvic nerves using magnetic resonance imaging for rectal cancer surgery.
38179407,2023,10.5306/wjco.v14.i12.584,PMC10762530,Current perspectives on the management of lateral pelvic lymph nodes in rectal cancer.
37113901,2023,10.1097/MS9.0000000000000441,PMC10129100,The role of magnetic resonance tumour regression grade in the prediction of regression and survival of rectal adenocarcinoma after long-course chemoradiotherapy: a cohort study.
35619546,2023,10.1177/02841851221100081,,Intravoxel incoherent motion MRI for rectal cancer: correlation of diffusion and perfusion characteristics with clinical-pathologic factors.
36038430,2023,10.1016/j.ejso.2022.08.010,,"Letter to the editor ""Extramural venous invasion (EMVI) in colorectal cancer is associated with increased cancer recurrence and cancer-related death""."
33054291,2021,10.17235/reed.2020.6954/2020,,Assessing tumor response to neoadjuvant chemoradiation in rectal cancer with rectoscopy and 18F-FDG PET/CT: results from a prospective series.
37132268,2023,10.1097/MNM.0000000000001703,PMC10246883,Baseline and early digital [ 18 F]FDG PET/CT and multiparametric MRI contain promising features to predict response to neoadjuvant therapy in locally advanced rectal cancer patients: a pilot study.
36785834,2023,10.1016/j.heliyon.2023.e13094,PMC9918765,Automatic treatment outcome prediction with DeepInteg based on multimodal radiological images in rectal cancer.
36064169,2022,10.1016/j.cireng.2022.08.015,,Validation of pelvic magnetic resonance imaging as the method of choice to determine the distance to the anal margin in rectal cancer.
32639283,2021,10.1097/DCR.0000000000001699,,Adding Narrow-Band Imaging to Chromoendoscopy for the Evaluation of Tumor Response to Neoadjuvant Therapy in Rectal Cancer.
37527945,2023,10.33699/PIS.2023.102.5.194-198,,Magnetic resonance imaging - evaluation of mesorectal lymphadenopathy in patients with rectal cancer.
35834598,2023,10.1097/DCR.0000000000002424,,Neoadjuvant Modified FOLFOXIRI With Selective Radiotherapy in Locally Advanced Rectal Cancer: Long-term Outcomes of Phase II Study and Propensity-Score-Matched Comparison With Chemoradiotherapy.
37491172,2023,10.3760/cma.j.cn112139-20230408-00149,,[Analysis of influencing factors and clinical value of anterior peritoneal reflection for patients with rectal cancer].
35954329,2022,10.3390/cancers14153665,PMC9367346,MORPHEUS Phase II-III Study: A Pre-Planned Interim Safety Analysis and Preliminary Results.
36028723,2022,10.1007/s00384-022-04244-1,,Establishment and validation of nomograms for predicting mesorectal lymph node staging and restaging.
34270097,2021,10.1002/jso.26600,PMC8433488,Radiological assessment of persistent retroperitoneal and lateral pelvic lymph nodes after neoadjuvant therapy for rectal cancer: An analysis of the United States Rectal Cancer Consortium.
36503389,2023,10.2174/1573405619666221209114218,,Comparison of Imaging Modalities in the Diagnosis and Tumor Staging of Colorectal Adenocarcinoma.
37835842,2023,10.3390/diagnostics13193099,PMC10572128,A Deep Learning Framework with Explainability for the Prediction of Lateral Locoregional Recurrences in Rectal Cancer Patients with Suspicious Lateral Lymph Nodes.
35351272,2022,10.1016/j.soc.2021.11.003,,Nonoperative Management of Rectal Cancer: The Watch and Wait Strategy.
34889037,2022,10.1111/1471-0528.17053,PMC9302663,Treatment preferences for medication or surgery in patients with deep endometriosis and bowel involvement - a discrete choice experiment.
37324028,2023,10.3389/fonc.2023.1172424,PMC10266488,Clinical target volume and organs at risk segmentation for rectal cancer radiotherapy using the Flex U-Net network.
35837891,2022,10.1097/SLA.0000000000005589,PMC9463102,Magnetic Resonance Imaging Directed Surgical Decision Making for Lateral Pelvic Lymph Node Dissection in Rectal Cancer After Total Neoadjuvant Therapy (TNT).
37592338,2023,10.1186/s13014-023-02315-3,PMC10436664,Effectiveness of bladder filling control during online MR-guided adaptive radiotherapy for rectal cancer.
34802905,2022,10.1016/j.acra.2021.10.009,,Diagnostic Efficiency of Diffusion Sequences and a Clinical Nomogram for Detecting Lymph Node Metastases from Rectal Cancer.
36332556,2022,10.1016/j.suronc.2022.101862,,Tumour-stroma ratio to predict pathological response to neo-adjuvant treatment in rectal cancer.
33952471,2021,10.21873/anticanres.15021,,Pretreatment MRI in Primary Rectal Cancer as a Predictor for Oncological Outcomes After Surgery for Local Recurrence.
34089596,2021,10.1093/bjsopen/zrab029,PMC8179511,"Induction chemotherapy followed by chemoradiotherapy versus chemoradiotherapy alone as neoadjuvant treatment for locally recurrent rectal cancer: study protocol of a multicentre, open-label, parallel-arms, randomized controlled study (PelvEx II)."
35936731,2022,10.3389/fonc.2022.943715,PMC9354679,Long-term outcome following microwave ablation of lung metastases from colorectal cancer.
34593418,2021,10.21873/anticanres.15284,,Fascial Organisation and Lymphatic Systems Around the Pelvic Floor: A Literature Review.
36919880,2023,10.2214/AJR.23.29002,PMC10777341,Mucinous Degeneration on MRI After Neoadjuvant Therapy in Patients With Rectal Adenocarcinoma: Frequency and Association With Clinical Outcomes.
37680730,2023,10.5114/wiitm.2023.125294,PMC10481442,A longer pelvis is associated with longer operative time in transanal total mesorectal excision (TME) but not in laparoscopic TME. Results from a retrospective cohort study.
37824443,2023,10.1080/07853890.2023.2268112,PMC10572048,Investigating anorectal function using postoperative MRI-based fibrosis score in patients with locally advanced rectal cancer receiving neoadjuvant chemoradiotherapy: a two-center study.
36238732,2021,10.3348/jksr.2020.0065,PMC9431938,Association between Texture Analysis Parameters and Molecular Biologic KRAS Mutation in Non-Mucinous Rectal Cancer.
36704244,2023,10.1109/JTEHM.2022.3229561,PMC9870269,Classification of IHC Images of NATs With ResNet-FRP-LSTM for Predicting Survival Rates of Rectal Cancer Patients.
36349555,2022,10.1093/bjs/znac372,,Defining near-complete response following (chemo)radiotherapy for rectal cancer: systematic review.
37588096,2023,10.3389/fonc.2023.1187858,PMC10426377,Transatmospheric ileal stoma manometry can be applied for the early detection of stoma outlet obstruction.
32928609,2021,10.1016/j.ejso.2020.08.019,,Preoperative predictive risk to cancer quality in robotic rectal cancer surgery.
37478389,2023,10.1200/JCO.22.02525,PMC10564288,Prospective Correlation of Magnetic Resonance Tumor Regression Grade With Pathologic Outcomes in Total Neoadjuvant Therapy for Rectal Adenocarcinoma.
33162315,2021,10.1016/j.acra.2020.10.018,,Correlations of Mean and Mimimum Apparent Diffusion Coefficient Values With the Clinicopathological Features in Rectal Cancer.
33121263,2021,10.1177/0284185120968569,,CT reconstruction with thick slices not only underestimates lymph node size but also reduces data reproducibility in colorectal cancer.
35400011,2022,10.21873/cdp.10074,PMC8962848,Predictive Value of the Prognostic Nutritional Index in Neoadjuvant Chemoradiotherapy for Rectal Cancer.
33906249,2021,10.1055/a-1404-0841,,[Not Available].
35912919,2023,10.1002/cam4.5086,PMC9939108,CT radiomics identifying non-responders to neoadjuvant chemoradiotherapy among patients with locally advanced rectal cancer.
37095201,2023,10.1007/s00261-023-03878-1,,Beyond T and N staging on rectal MRI: The future of rectal MRI is here.
35881198,2022,10.1007/s00261-022-03612-3,,Update to the structured MRI report for primary staging of rectal cancer : Perspective from the SAR Disease Focused Panel on Rectal and Anal Cancer.
35975889,2023,10.2214/AJR.22.28388,,Beyond the AJR: A Call for a Selective Risk-Tailored Algorithm Using MRI in Rectal Cancer Management.
36813175,2023,10.1016/j.radonc.2023.109542,,"Treatment, outcome, and prognostic factors in non-metastatic anal cancer: The French nationwide cohort study FFCD-ANABASE."
33539412,2021,10.1371/journal.pone.0246535,PMC7861457,Use of advanced PET-volume metrics predicts risk of local recurrence and overall survival in anal cancer.
36476121,2023,10.1177/02841851221140678,,Intra- and interobserver agreement of rectal cancer staging with MRI.
33792823,2021,10.1007/s10151-021-02440-9,PMC8079287,"T2-weighted, apparent diffusion coefficient and (18)F-FDG PET histogram analysis of rectal cancer after preoperative chemoradiotherapy."
37670390,2023,10.1186/s13014-023-02334-0,PMC10481560,Fully automated volumetric modulated arc therapy planning for locally advanced rectal cancer: feasibility and efficiency.
34192475,2021,10.1259/bjr.20201139,PMC8764912,"A first radiotherapy application of functional bulboclitoris anatomy, a novel female sexual organ-at-risk, and organ-sparing feasibility study."
33909106,2021,10.1007/s00104-021-01411-y,,[Standardization of preoperative locoregional staging in rectal cancer with MRI].
37058886,2023,10.1016/j.neo.2023.100901,PMC10130693,From adenoma to CRC stages: the oral-gut microbiome axis as a source of potential microbial and metabolic biomarkers of malignancy.
34898363,2023,10.1080/00015458.2021.2016204,,Current practices concerning the assessment and treatment of lateral lymph nodes in low rectal cancer: a survey among colorectal surgeons in The Netherlands.
32385797,2021,10.1007/s11701-020-01087-2,,Robotic rectal cancer surgery with single side-docking technique: experience of a tertiary care university hospital.
37093327,2023,10.1186/s43046-023-00169-0,PMC10123594,Organ preservation strategy: new therapeutic alternative in rectal cancer.
35340172,2022,10.3760/cma.j.cn441530-20211222-00527,,[A prediction model of pathological complete response in patients with locally advanced rectal cancer after PD-1 antibody combined with total neoadjuvant chemoradiotherapy based on MRI radiomics].
35836033,2022,10.1007/s00464-022-09407-3,,Intraoperative bowel perfusion quantification with hyperspectral imaging: a guidance tool for precision colorectal surgery.
36466978,2022,10.1055/s-0041-1731902,PMC9718597,Role of Serum Carcinoembryonic Antigen in Predicting Recurrent Disease following Curative Resection of Rectal Cancer.
33880066,2021,10.2147/CMAR.S295317,PMC8053518,Development of a Joint Prediction Model Based on Both the Radiomics and Clinical Factors for Predicting the Tumor Response to Neoadjuvant Chemoradiotherapy in Patients with Locally Advanced Rectal Cancer.
34755248,2022,10.1007/s11307-021-01674-1,,Value of Primary Rectal Tumor PET/MRI in the Prediction of Synchronic Metastatic Disease.
36763605,2023,10.1371/journal.pone.0281618,PMC9916647,Learning high-order interactions for polygenic risk prediction.
36117452,2023,10.1111/ans.18058,,Retrospective audit: Utility of PET scan in routine preoperative rectal cancer staging.
37746305,2023,10.3389/fonc.2023.1109588,PMC10517628,Predicting the risk of distant metastasis in patients with locally advanced rectal cancer using model based on pre-treatment T2WI-based radiomic features plus postoperative pathological stage.
36690032,2023,10.1016/j.remnie.2023.01.001,,Primary tumor heterogeneity on pretreatment (18)F-FDG PET/CT to predict outcome in patients with rectal cancer who underwent surgery after neoadjuvant therapy.
32857614,2021,10.1080/13548506.2020.1807578,,"Quality of life in Mexican colorectal cancer patients: analysis with sociodemographic, medical, and psychological variables."
36206161,2022,10.1016/j.xpro.2022.101749,PMC9547293,Image-guided radiotherapy in an orthotopic mouse model of rectal cancer.
35726100,2023,10.1007/s00330-022-08952-8,PMC9755091,Deep-learning-based 3D super-resolution MRI radiomics model: superior predictive performance in preoperative T-staging of rectal cancer.
36471884,2022,10.1155/2022/1590620,PMC9719428,Application of Radiomics in Predicting Treatment Response to Neoadjuvant Chemoradiotherapy in Locally Advanced Rectal Cancer: Strategies and Challenges.
37701166,2023,10.7759/cureus.45002,PMC10493462,MRI Evaluation of Rectal Cancer Lymph Node Staging Using Apparent Diffusion Coefficient.
36805228,2023,10.1016/j.compbiomed.2023.106675,,Measuring distance from lowest boundary of rectal tumor to anal verge on CT images using pyramid attention pooling transformer.
34679494,2021,10.3390/diagnostics11101796,PMC8534713,Radiomics as a New Frontier of Imaging for Cancer Prognosis: A Narrative Review.
36219253,2022,10.1007/s00423-022-02701-7,PMC9722842,Choice of specimen's extraction site affects wound morbidity in laparoscopic colorectal cancer surgery.
36794240,2023,10.4068/cmj.2023.59.1.76,PMC9900219,Benefits of Adjuvant Chemotherapy for Clinical T3-4N0 Rectal Cancer After Preoperative Chemoradiotherapy.
33723133,2021,10.4103/jcrt.JCRT_328_19,,A comparison of radiotherapy treatment planning techniques in patients with rectal cancers by analyzing testes doses.
35106419,2022,10.1002/ags3.12504,PMC8786681,The Effectiveness of Machine Learning in Predicting Lateral Lymph Node Metastasis From Lower Rectal Cancer: A Single Center Development and Validation Study.
35749415,2022,10.1371/journal.pone.0270332,PMC9231737,Prognostic value of sarcopenia in patients with rectal cancer: A meta-analysis.
33858643,2021,10.1053/j.ro.2020.07.008,,Baseline MR Staging of Rectal Cancer: A Practical Approach.
35355820,2022,10.1155/2022/2003286,PMC8958068,Radiomics of Patients with Locally Advanced Rectal Cancer: Effect of Preprocessing on Features Estimation from Computed Tomography Imaging.
37197135,2023,10.7759/cureus.37622,PMC10185295,Colorectal Cancer Diagnostic Methods: The Present and Future.
36495411,2023,10.1007/s10334-022-01054-y,,Application value of simultaneous multislice readout-segmented echo-planar imaging for diffusion-weighted MRI in differentiation of rectal cancer grade.
32622667,2021,10.1016/j.euf.2020.06.008,,Total Pelvic Exenteration for Locally Advanced and Recurrent Rectal Cancer: Urological Outcomes and Adverse Events.
36580095,2023,10.1007/s00330-022-09362-6,PMC10182155,Predicting pathological complete response of neoadjuvant radiotherapy and targeted therapy for soft tissue sarcoma by whole-tumor texture analysis of multisequence MRI imaging.
32972094,2021,10.3393/ac.2020.08.10.1,PMC8273715,Characteristics of Patients Presented With Metastases During or After Completion of Chemoradiation Therapy for Locally Advanced Rectal Cancer: A Case Series.
34866405,2022,10.1177/02841851211057276,PMC9660268,Radiology reporting in rectal cancer using MRI: adherence to national template for structured reporting.
36505777,2022,10.3389/fonc.2022.927771,PMC9731768,Associations between disrupted functional brain network topology and cognitive impairment in patients with rectal cancer during chemotherapy.
34469907,2021,10.1097/RCT.0000000000001218,,Texture Analysis of Tumor and Peritumoral Tissues Based on 18F-Fluorodeoxyglucose Positron Emission Tomography/Computed Tomography Hybrid Imaging in Patients With Rectal Cancer.
35574447,2022,10.3389/fphys.2022.880981,PMC9091815,Endoscopy-Based Deep Convolutional Neural Network Predicts Response to Neoadjuvant Treatment for Locally Advanced Rectal Cancer.
34487231,2021,10.1007/s00384-021-04018-1,PMC8589806,"Management, treatment and prognostic significance of lateral lymph node metastases in rectal cancer-a regional cohort study."
35734264,2022,10.1016/j.phro.2022.06.005,PMC9207286,Clinical rationale for in vivo portal dosimetry in magnetic resonance guided online adaptive radiotherapy.
35934635,2022,10.1016/j.clcc.2022.07.001,,Failure of Initial Curative Treatment for Non-Metastatic Anal Squamous Cell Carcinoma: From Prognostic Factors Analysis to Stratified Treatment.
33606129,2021,10.1007/s10151-020-02390-8,,"Oncological outcomes and stoma-free survival following TaTME, a prospective cohort study."
37236255,2023,10.1055/a-2081-9749,PMC10219765,Linked color imaging aids in identification of multiple rectal neuroendocrine tumors.
35040944,2021,10.1093/bjsopen/zrab101,PMC8765336,Quality of life in restorative versus non-restorative resections for rectal cancer: systematic review.
35146224,2022,10.1016/j.vgie.2021.10.010,PMC8819476,Wide-field endoscopic mucosal resection of laterally spreading rectal tumors using a multiband ligation endoscopic mucosal resection technique.
37535981,2023,10.1093/bjsopen/zrad072,PMC10400113,'4-Check' protocol for intraoperative anastomotic assessment during transanal total mesorectal excision: retrospective cohort study.
37803809,2023,10.1016/j.asjsur.2022.10.031,,Sigmoid take-off in rectosigmoid cancer as a landmark identifying benefit from neoadjuvant chemoradiation: A retrospective comparative cohort study.
37424491,2023,10.3233/XST-230078,,CT-guided percutaneous microwave ablation for pulmonary metastases from colorectal cancer: Prognosis analyses based on the origin of the primary tumor.
37148548,2023,10.1002/cam4.6029,PMC10315751,Identification of patients with locally advanced rectal cancer eligible for neoadjuvant chemotherapy alone: Results of a retrospective study.
33976755,2021,10.1155/2021/6668885,PMC8087471,Nursing of Gastrointestinal Peristalsis Function Recovery after Abdominal Mirror Surgery for Rectal Cancer Patients Based on Intelligent Electronic Medicine.
37113578,2023,10.23922/jarc.2022-064,PMC10129353,Clinical Relevance of Lateral Pelvic Lymph Node Dissection for Enlarged Lateral Nodes in Locally Advanced Low Rectal Cancer without Preoperative Treatment.
32833198,2021,10.1007/s11547-020-01266-z,PMC7937600,A field strength independent MR radiomics model to predict pathological complete response in locally advanced rectal cancer.
34338870,2021,10.1007/s00384-021-04000-x,,Can MRI pelvimetry predict the technical difficulty of laparoscopic rectal cancer surgery?
37707664,2023,10.1007/s00384-023-04526-2,,Multimodal assessment after total neoadjuvant therapy versus standard neoadjuvant chemoradiotherapy in locally advanced rectal cancer accurately predicts complete responders.
35796881,2022,10.1186/s13244-022-01254-z,PMC9263013,T2 relaxation time for the early prediction of treatment response to chemoradiation in locally advanced rectal cancer.
35818579,2022,10.2147/IJGM.S364029,PMC9270925,MMP2 Polymorphisms and Colorectal Cancer Susceptibility in a Chinese Han Population.
34359661,2021,10.3390/cancers13153760,PMC8345202,A Patient-Derived Organoid-Based Radiosensitivity Model for the Prediction of Radiation Responses in Patients with Rectal Cancer.
35318364,2022,10.1038/s41598-022-08773-1,PMC8941159,Weakly supervised end-to-end artificial intelligence in gastrointestinal endoscopy.
34935061,2022,10.3892/or.2021.8245,PMC8717123,Role of MRI‑based radiomics in locally advanced rectal cancer (Review).
36569682,2022,10.7759/cureus.31745,PMC9770547,Can CT Pelvimetry Be Used to Predict Circumferential Resection Margin Positivity in Laparoscopic Resection of Middle and Lower Rectum Cancer?
34792915,2021,,,[Restatment. Anal Cancer].
38110281,2023,10.3760/cma.j.cn441530-20230720-00008,,[Application of a new-type of defecator in the treatment of rectal fecal impaction].
37389686,2023,10.1007/s00423-023-02981-7,,Does the visceral fat area impact the histopathology specimen metrics after total mesorectal excision for distal rectal cancer?
34880974,2021,10.1155/2021/3080640,PMC8648445,Low-Rank Matrix Denoising Algorithm-Based MRI Image Feature for Therapeutic Effect Evaluation of NCRT on Rectal Cancer.
33519233,2021,10.2147/CMAR.S286796,PMC7837555,Effect of Simultaneous Integrated Boost Intensity Modulated Radiation Therapy (SIB-IMRT) and Non-Operative Strategy on Outcomes of Distal Rectal Cancer Patients with Clinically Positive Lateral Pelvic Lymph Node.
33119406,2021,10.2214/AJR.19.22498,,Clinical and Radiologic Predictors of Parastomal Hernia Development After End Colostomy.
32039985,2021,10.1097/SLA.0000000000003738,,Management and Outcome of Local Regrowths in a Watch-and-wait Prospective Cohort for Complete Responses in Rectal Cancer.
36327677,2022,10.1016/j.ejmp.2022.10.012,,Evaluation of CBCT based dose calculation in the thorax and pelvis using two generic algorithms.
35491334,2022,10.1016/j.suronc.2022.101774,,"Watch and wait: Why, to whom and how."
37119637,2023,10.1016/j.saa.2023.122743,,"Diagnoses in multiple types of cancer based on serum Raman spectroscopy combined with a convolutional neural network: Gastric cancer, colon cancer, rectal cancer, lung cancer."
35395434,2022,10.1016/j.ctrv.2022.102381,,Compliance to chemoradiation in squamous cell carcinoma of the anus.
38303279,2023,,,[Significance of Preoperative Adjuvant Therapy and Subsequent Selective Inguinal Lymph Node Dissection for Rectal or Anal Canal Adenocarcinoma with Inguinal Lymph Node Metastases].
36504512,2022,10.4240/wjgs.v14.i11.1250,PMC9727572,Comprehensive abdominal composition evaluation of rectal cancer patients with anastomotic leakage compared with body mass index-matched controls.
35092916,2022,10.1016/j.suronc.2022.101708,,Anastomotic leakage in colorectal cancer surgery.
36986526,2023,10.3390/ph16030427,PMC10057108,Evaluation of ctDNA in the Prediction of Response to Neoadjuvant Therapy and Prognosis in Locally Advanced Rectal Cancer Patients: A Prospective Study.
35047400,2021,10.3389/fonc.2021.783544,PMC8761907,Amide Proton Transfer Weighted and Intravoxel Incoherent Motion Imaging in Evaluation of Prognostic Factors for Rectal Adenocarcinoma.
37450019,2023,10.1007/s00261-023-04003-y,,MRI in rectal cancer patients on 'watch and wait': patterns of response and their evolution.
34019434,2021,10.1259/dmfr.20200516,PMC8611283,Analysis of medication-related osteonecrosis of the jaw with bone SPECT/CT: relationship between patient characteristics and maximum standardized uptake value.
36307596,2023,10.1007/s00261-022-03710-2,PMC9905276,Multiplexed sensitivity-encoding diffusion-weighted imaging (MUSE) in diffusion-weighted imaging for rectal MRI: a quantitative and qualitative analysis at multiple b-values.
33932256,2021,10.1002/cam4.3914,PMC8178484,Patient-reported distress and age-related stress biomarkers among colorectal cancer patients.
33545708,2021,10.1088/1361-6560/abe3d1,,DeepDose: a robust deep learning-based dose engine for abdominal tumours in a 1.5 T MRI radiotherapy system.
32975646,2021,10.1007/s00261-020-02770-6,,Comparison of percentage changes in quantitative diffusion parameters for assessing pathological complete response to neoadjuvant therapy in locally advanced rectal cancer: a meta-analysis.
33827704,2021,10.1186/s40644-021-00403-9,PMC8028796,Integrated slice-specific dynamic shimming diffusion weighted imaging (DWI) for rectal Cancer detection and characterization.
35861423,2022,10.1097/CM9.0000000000002024,PMC9945311,Morphology of the anterior mesorectum: a new predictor for local recurrence in patients with rectal cancer.
37099182,2023,10.1007/s00261-023-03900-6,PMC11210452,A primer on rectal MRI in patients on watch-and-wait treatment for rectal cancer.
34860243,2021,10.1001/jamanetworkopen.2021.36913,PMC8642786,Identifying Diagnostic MicroRNAs and Investigating Their Biological Implications in Rectal Cancer.
34922810,2022,10.1016/j.ejso.2021.11.007,,Preoperative assessment and optimisation for pelvic exenteration in locally advanced and recurrent rectal cancer: A review.
38696592,2023,10.1259/bjr.20230091,PMC10546463,Pearls and pitfalls of structured staging and reporting of rectal cancer on MRI: an international multireader study.
34327144,2021,10.3389/fonc.2021.709070,PMC8315047,Magnetic Resonance Imaging Evaluation of the Accuracy of Various Lymph Node Staging Criteria in Rectal Cancer: A Systematic Review and Meta-Analysis.
36122318,2022,10.1200/GO.22.00106,PMC9812498,Value of Geographical Information Systems in Analyzing Geographic Accessibility to Inform Radiotherapy Planning: A Systematic Review.
35194919,2022,10.1111/codi.16099,,Quality of life meta-analysis following coloanal anastomosis versus abdominoperineal resection for low rectal cancer.
38051159,2023,10.1111/jebm.12567,,Effects of magnetic resonance imaging prognostic factors on neoadjuvant therapy in T3 or N+ rectal cancer: A retrospective cohort study.
37407899,2023,10.1007/s11605-023-05755-0,PMC10528925,Estimating Risk of Locoregional Failure and Overall Survival in Anal Cancer Following Chemoradiation: A Machine Learning Approach.
35919050,2022,10.21037/qims-21-938,PMC9338373,Correlation between apparent diffusion coefficient and tumor-stroma ratio in hybrid (18)F-FDG PET/MRI: preliminary results of a rectal cancer cohort study.
36252747,2022,10.1016/j.critrevonc.2022.103853,,Different neoadjuvant therapies for locally advanced rectal cancer: A systematic review and network meta-analysis.
36620843,2022,10.7759/cureus.32241,PMC9813797,Textural Analysis as a Predictive Biomarker in Rectal Cancer.
37735896,2023,10.1177/15330338231201508,PMC10515520,CT-Guided Percutaneous Cryoablation for Lung Metastasis of Colorectal Cancer: A Case Series.
36605425,2022,10.3389/fonc.2022.1065468,PMC9807609,Application of machine learning techniques in real-world research to predict the risk of liver metastasis in rectal cancer.
33676825,2021,10.1016/j.acra.2021.02.004,,Preliminary Study on Predicting Pathological Staging and Immunohistochemical Markers of Rectal Cancer Based on ADC Histogram Analysis.
33295140,2021,10.1002/cnr2.1320,PMC7883038,Radiotherapy management of rectal cancer in the backdrop of the COVID pandemic.
37572415,2023,10.1016/j.canep.2023.102440,,Advances in rectal cancer: Real-world evidence suggests limited gains in prognosis for elderly patients.
35205826,2022,10.3390/cancers14041079,PMC8870201,External Validation of a Radiomics Model for the Prediction of Complete Response to Neoadjuvant Chemoradiotherapy in Rectal Cancer.
